lr,batch,n_window,epoch,dsName,precision,recall,fmeasure
0.1,128,10,5,uni_pointg,Error,Error,Error
0.1,128,10,10,uni_pointg,Error,Error,Error
0.1,128,10,50,uni_pointg,Error,Error,Error
0.1,128,10,100,uni_pointg,Error,Error,Error
0.1,128,10,200,uni_pointg,Error,Error,Error
0.1,128,10,400,uni_pointg,Error,Error,Error
0.1,128,10,5,uni_pointg,Error,Error,Error
0.1,128,10,10,uni_pointg,Error,Error,Error
0.1,128,10,50,uni_pointg,Error,Error,Error
0.1,128,10,100,uni_pointg,Error,Error,Error
0.1,128,10,200,uni_pointg,Error,Error,Error
0.1,128,10,400,uni_pointg,Error,Error,Error
0.1,128,10,5,uni_pointg,Error,Error,Error
0.1,128,10,10,uni_pointg,Error,Error,Error
0.1,128,10,50,uni_pointg,Error,Error,Error
0.1,128,10,100,uni_pointg,Error,Error,Error
0.1,128,10,200,uni_pointg,Error,Error,Error
0.1,128,10,5,uni_pointg,Error,Error,Error
0.1,128,10,10,uni_pointg,Error,Error,Error
0.1,128,10,5,uni_pointg,Error,Error,Error
0.1,128,10,10,uni_pointg,Error,Error,Error
0.1,128,10,5,uni_pointg,0.10013161891262529,0.98998998998999,0.18186833394630378
0.1,128,10,5,uni_pointg,0.1015733456732994,0.8788788788788788,0.18210100591102352
0.1,128,10,5,uni_pointg,Error,Error,Error
0.1,128,10,5,uni_pointg,0.09932279909706546,0.968968968968969,0.18017682643089808
