,timestamp,val0,label
0,6010,101.358,False
1,6011,115.853,False
2,6012,112.237,False
3,6013,108.721,False
4,6014,101.545,False
5,6015,102.297,False
6,6016,119.553,False
7,6017,110.029,False
8,6018,109.545,False
9,6019,105.074,False
10,6020,94.3625,False
11,6021,109.617,False
12,6022,104.137,False
13,6023,103.24,False
14,6024,102.018,False
15,6025,98.9504,False
16,6026,101.387,False
17,6027,101.726,False
18,6028,99.7322,False
19,6029,100.94,False
20,6030,94.4982,False
21,6031,116.227,False
22,6032,100.915,False
23,6033,100.569,False
24,6034,93.1638,False
25,6035,97.5198,False
26,6036,99.085,False
27,6037,100.502,False
28,6038,97.6737,False
29,6039,99.7217,False
30,6040,95.333,False
31,6041,109.182,False
32,6042,96.8415,False
33,6043,108.036,False
34,6044,96.4503,False
35,6045,91.0329,False
36,6046,105.91,False
37,6047,96.2924,False
38,6048,92.5075,False
39,6049,100.174,False
40,6050,92.9942,False
41,6051,96.3229,False
42,6052,102.388,False
43,6053,93.6452,False
44,6054,89.2633,False
45,6055,91.3684,False
46,6056,89.2881,False
47,6057,86.5512,False
48,6058,87.7489,False
49,6059,91.7998,False
50,6060,85.8466,False
51,6061,110.589,False
52,6062,95.1852,False
53,6063,101.56,False
54,6064,97.9942,False
55,6065,91.6856,False
56,6066,95.512,False
57,6067,88.1438,False
58,6068,97.0658,False
59,6069,96.3695,False
60,6070,87.2993,False
61,6071,109.87,False
62,6072,105.674,False
63,6073,97.0164,False
64,6074,103.587,False
65,6075,90.8947,False
66,6076,105.474,False
67,6077,91.1842,False
68,6078,88.5641,False
69,6079,90.2215,False
70,6080,82.243,False
71,6081,94.178,False
72,6082,85.6016,False
73,6083,91.2636,False
74,6084,85.5579,False
75,6085,87.7595,False
76,6086,87.5227,False
77,6087,88.8929,False
78,6088,82.8642,False
79,6089,85.0018,False
80,6090,86.2556,False
81,6091,102.829,False
82,6092,88.2423,False
83,6093,85.1446,False
84,6094,82.1046,False
85,6095,83.2314,False
86,6096,90.497,False
87,6097,86.6904,False
88,6098,83.9782,False
89,6099,82.2609,False
90,6100,85.9874,False
91,6101,93.6342,False
92,6102,89.5774,False
93,6103,90.2516,False
94,6104,83.2672,False
95,6105,80.2772,False
96,6106,92.0014,False
97,6107,85.5863,False
98,6108,82.8178,False
99,6109,83.817,False
100,6110,81.4708,False
101,6111,88.8509,False
102,6112,87.442,False
103,6113,92.0453,False
104,6114,83.0199,False
105,6115,87.6256,False
106,6116,85.7207,False
107,6117,84.8316,False
108,6118,84.7131,False
109,6119,86.5141,False
110,6120,84.8837,False
111,6121,108.151,False
112,6122,95.6172,False
113,6123,94.1572,False
114,6124,94.7475,False
115,6125,94.7727,False
116,6126,103.058,False
117,6127,101.137,False
118,6128,93.4973,False
119,6129,94.0971,False
120,6130,91.909,False
121,6131,108.474,False
122,6132,99.0272,False
