,timestamp,val0,val1,val2,label
0,1,0.09531018,7.095976068,5.796361656,False
1,2,0.09531018,7.426013215,5.808442745,False
2,3,-2.302585093,6.886633782,5.799395639,False
3,4,0.09531018,7.336350804,5.784132827,True
4,5,0.09531018,7.441965343,5.787204083,True
5,6,-2.302585093,7.251415903,5.799395639,False
6,7,-2.302585093,8.121510083,5.796361656,True
7,8,-2.302585093,6.942253319,5.808442745,True
8,9,-2.302585093,6.361475174,5.799395639,True
9,10,-2.302585093,7.780762656,5.799395639,True
10,11,-2.302585093,6.914830193,5.790265935,True
11,12,-2.302585093,7.418240845,5.79331844,False
12,13,0.09531018,6.800281421,5.802420445,False
13,14,0.09531018,6.999513704,5.790265935,True
14,15,-2.302585093,7.335047108,5.635146682,True
15,16,-2.302585093,7.100109671,5.790265935,False
16,17,-2.302585093,7.035356624,5.635146682,False
17,18,-2.302585093,6.583547525,5.78105211,True
18,19,-2.302585093,6.621538799,5.631570141,False
19,20,-2.302585093,6.800281421,5.627980761,False
20,21,-2.302585093,7.081792616,5.624378452,False
21,22,-2.302585093,6.628173643,5.635146682,False
22,23,-2.302585093,7.083471737,5.79331844,False
23,24,-2.302585093,6.732329889,5.811440349,False
24,25,-2.302585093,7.388389701,5.79331844,False
25,26,-2.302585093,6.429880755,5.796361656,True
26,27,-2.302585093,7.081792616,5.799395639,False
27,28,0.09531018,7.157813363,5.796361656,False
28,29,-2.302585093,6.950910549,5.784132827,True
29,30,-2.302585093,6.428266811,5.79331844,False
30,31,-2.302585093,6.721546175,5.796361656,False
31,32,0.09531018,6.902843235,5.777961873,False
32,33,-2.302585093,6.470954291,5.799395639,True
33,34,-2.302585093,8.121510083,5.79331844,False
34,35,-2.302585093,6.690966493,5.790265935,True
35,36,-2.302585093,6.387047655,5.811440349,False
36,37,-2.302585093,6.977374621,5.989212012,True
37,38,-2.302585093,7.167115034,5.805436128,False
38,39,-2.302585093,6.930592513,5.79331844,False
39,40,-2.302585093,7.242869451,5.78105211,False
40,41,-2.302585093,6.735898772,5.631570141,False
41,42,-2.302585093,7.221908869,5.624378452,False
42,43,-2.302585093,7.003156364,5.799395639,False
43,44,-2.302585093,7.006785802,5.808442745,False
44,45,-2.302585093,6.978306935,5.808442745,False
45,46,-2.302585093,6.472500842,5.790265935,False
46,47,-2.302585093,7.311952918,5.635146682,False
47,48,-2.302585093,6.921756799,5.790265935,False
48,49,-2.302585093,7.482175228,5.627980761,False
49,50,-2.302585093,7.075893391,5.799395639,True
50,51,-2.302585093,6.626850191,5.787204083,False
51,52,-2.302585093,7.206451473,5.79331844,False
52,53,-2.302585093,7.199753026,5.799395639,False
53,54,0.09531018,7.295802913,5.799395639,False
54,55,-2.302585093,6.849172322,5.802420445,True
55,56,-2.302585093,7.084310241,5.79331844,False
56,57,-2.302585093,6.898815437,5.802420445,False
57,58,0.09531018,7.078425893,5.631570141,False
58,59,-2.302585093,7.158591815,5.799395639,True
59,60,-2.302585093,6.758210642,5.790265935,False
60,61,-2.302585093,6.541174289,5.799395639,False
61,62,-2.302585093,6.853404684,5.796361656,False
62,63,0.09531018,7.547026887,5.627980761,False
63,64,-2.302585093,7.226281735,5.79331844,True
64,65,-2.302585093,6.791333816,5.796361656,False
65,66,-2.302585093,7.055399121,5.79331844,False
66,67,-2.302585093,8.330405677,5.799395639,False
67,68,-2.302585093,6.33167977,5.784132827,True
68,69,-2.302585093,6.865995345,5.642261618,True
69,70,-2.302585093,8.371959305,5.642261618,False
70,71,-2.302585093,7.07335446,5.627980761,True
71,72,0.09531018,7.346074724,5.787204083,False
72,73,-2.302585093,7.183946585,5.799395639,True
73,74,-2.302585093,6.852348272,5.799395639,False
74,75,-2.302585093,6.397096308,5.635146682,False
75,76,0.09531018,6.685985783,5.796361656,False
76,77,-2.302585093,8.311914116,5.627980761,True
77,78,-2.302585093,6.525176275,5.790265935,True
78,79,-2.302585093,6.762845107,5.790265935,False
79,80,-2.302585093,7.42541748,5.805436128,False
80,81,0.09531018,6.886633782,5.799395639,False
81,82,-2.302585093,7.134173463,5.777961873,True
82,83,-2.302585093,7.111593679,5.642261618,False
83,84,-2.302585093,7.078425893,5.790265935,False
84,85,0.09531018,7.451299755,5.796361656,False
85,86,-2.302585093,7.042373581,5.787204083,True
86,87,0.09531018,6.579390091,5.790265935,False
87,88,-2.302585093,6.71913392,5.638710478,True
88,89,-2.302585093,7.176330982,5.642261618,True
89,90,-2.302585093,7.030061403,5.787204083,True
90,91,-2.302585093,7.495597498,5.796361656,True
91,92,0.09531018,7.780344876,5.796361656,True
92,93,-2.302585093,7.092656838,5.802420445,True
93,94,-2.302585093,6.868078462,5.790265935,True
94,95,-2.302585093,7.920482828,5.635146682,True
95,96,-2.302585093,7.001336693,5.635146682,True
96,97,-2.302585093,6.825568608,5.635146682,False
97,98,-2.302585093,6.498432741,5.620763119,False
98,99,-2.302585093,6.507426955,5.638710478,False
99,100,-2.302585093,7.384672454,5.774862056,False
100,101,0.09531018,7.479356101,5.796361656,True
101,102,-2.302585093,6.513378468,5.802420445,True
102,103,-2.302585093,7.232082636,5.799395639,False
103,104,-2.302585093,7.315949992,5.79331844,False
104,105,0.09531018,7.668140459,5.799395639,False
105,106,-2.302585093,6.55265053,5.790265935,True
106,107,-2.302585093,7.13497053,5.756058619,False
107,108,-2.302585093,6.25977265,5.624378452,False
108,109,-2.302585093,7.204966802,5.635146682,True
109,110,-2.302585093,6.767458193,5.814428995,False
110,111,0.09531018,7.297835985,5.971516909,False
111,112,-2.302585093,7.887996859,5.642261618,True
112,113,-2.302585093,7.140532279,5.638710478,True
113,114,0.09531018,7.484424821,5.642261618,False
114,115,-2.302585093,6.565405805,5.78105211,True
115,116,-2.302585093,7.821282195,5.635146682,True
116,117,-2.302585093,6.727551478,5.799395639,True
117,118,-2.302585093,6.526641262,5.799395639,False
118,119,-2.302585093,7.076738271,5.624378452,False
119,120,-2.302585093,6.539730454,5.796361656,False
120,121,-2.302585093,7.318605859,5.858218828,False
121,122,0.09531018,7.567914284,5.759217182,False
122,123,-2.302585093,7.438442352,5.784132827,True
123,124,0.09531018,7.076738271,5.642261618,False
124,125,-2.302585093,7.093487679,5.620763119,True
